code,name,lat,lon,junction,source
ARG,Angar Ghat,25.793381,85.909812,,osm
ARGD,Arigada,23.64433,85.467985,,osm
ARGL,Argul,20.124244,85.670639,,osm
ARI,Antri,26.035644,78.226953,,osm
ARJ,Aunrihar Junction,25.545133,83.187645,,osm
ARK,Araku,18.332922,82.865258,,osm
ARKA,Arkha,25.887496,81.31372,,osm
ARKV,Araku Valley,18.302793,82.910352,,osm
ARL,Aroul,26.920644,80.018951,,osm
ARNA,Arniya,27.010643,76.517738,,osm
ARP,Atrampur,25.572282,81.745967,,osm
ARPR,Alirajpur,22.300168,74.398718,,osm
ARQ,Araria Court,26.114822,87.447284,,osm
ARR,Arariya,26.136362,87.411945,,osm
ARW,Ahraura Road,25.196586,83.019278,,osm
ARX,Areli,28.019018,79.885622,,osm
ARYJ,Aarey JVLR,19.130428,72.884349,,osm
AS,Arjansar,28.931939,73.871807,,osm
AS2,Duhai Depot Station,28.742282,77.467641,,osm
ASA,آدم صحابہ,28.359697,70.224356,,osm
ASAN,Asan,29.401351,76.869373,,osm
ASAR,Asara,29.249397,77.291497,,osm
ASB,Asanboni,22.705409,86.321382,,osm
ASCE,Athsarai,25.678937,81.262207,,osm
ASDM,Akshardham,28.617933,77.279424,,osm
ASE,Asaudah,28.736759,76.859708,,osm
ASH,Aishbagh,26.837359,80.909795,,osm
ASKN,Ashok Nagar,24.579243,77.727973,,osm
ASKR,Ashoknagar Road,22.826755,88.628623,,osm
ASL,Aslaoda,23.230926,75.607953,,osm
ASLU,Aslu,28.368516,75.07516,,osm
ASM,Asarma,21.458933,73.064358,,osm
ASN,Asansol Junction,23.69131,86.974792,,osm
ASO,Asangaon,19.439747,73.308012,,osm
ASR,Amritsar Junction,31.633213,74.867143,,osm
AST,Asaoti,28.253176,77.323616,,osm
ASV,Asarva,23.044093,72.613216,,osm
AT,Asnoti,14.87629,74.147593,,osm
ATA,Ata,26.04436,79.598655,,osm
ATCY,اٹک سٹی جنکشن,33.77451,72.351618,,osm
ATDA,Atladara,22.275249,73.153552,,osm
ATE,Atarra,25.29074,80.576971,,osm
ATG,Atgaon,19.503542,73.328257,,osm
ATH,Antah,25.160813,76.307155,,osm
ATHA,Arthala,28.676999,77.391892,,osm
ATKD,اٹک خورد,33.873684,72.240945,,osm
ATL,Athmal Gola,25.453451,85.621995,,osm
ATM,Altagram,26.610649,88.943223,,osm
ATMO,Aithal,29.808069,78.043909,,osm
ATNR,Awatar Nagar,25.764803,84.956961,,osm
ATPA,Awantipura,33.887997,74.991892,,osm
ATR,Attar,21.998528,76.205355,,osm
ATRR,Atraura Halt,25.321697,82.299066,,osm
ATRU,Atru,24.882068,76.670046,,osm
ATS,Attabira,21.387956,83.792911,,osm
ATT,Attari,31.59455,74.606621,,osm
ATUL,Atul,20.547282,72.927824,,osm
AUB,Aluabari Road Junction (Islampur),26.269043,88.185247,,osm
AUBR,Anugraha Narayan Road,24.855785,84.329734,,osm
AUI,Aurahi,25.823021,87.135054,,osm
AUL,Agsauli,27.717785,78.476993,,osm
AUN,Aurang Nagar,29.032522,75.979605,,osm
AUNG,Aung,26.161523,80.546668,,osm
AUR,Atrauli Road,28.095872,78.21933,,osm
AUS,Anupshahr,28.947519,75.212306,,osm
AUWA,Auwa,25.660661,73.561502,,osm
AV,Asvali,19.82045,73.717591,,osm
AVA,Ambewadi,15.272911,74.617434,,osm
AVH,Avidha,21.74983,73.192482,,osm
AVL,Amritvel,21.076363,71.661252,,osm
AVRD,Aravali Road,17.316657,73.538091,,osm
AWI,علو والی,32.364957,71.418511,,osm
AWL,Alawalpur,31.42553,75.642859,,osm
AWR,Alwar Junction,27.56049,76.621353,,osm
AWS,Awasani,27.162649,84.052727,,osm
AXA,Amarsar,22.58614,70.916598,,osm
AXK,Ashokhar,26.546375,78.605888,,osm
AY,Ayodhya Dham Junction,26.787937,82.201003,,osm
AYC,Ayodhya Cantt,26.768993,82.135802,,osm
AYRN,Akshaywat Rai Nagar,25.688744,85.314057,,osm
AZ,Azimganj Junction,24.230042,88.25991,,osm
AZR,Azamnagar Road,25.555962,87.852733,,osm
AZTL,عظمت والا,29.570144,70.53371,,osm
AZU,Azadpur (Yellow Line),28.707045,77.180372,,osm
BA,Bandra,19.054979,72.84022,,osm
BAA,Barala,24.265991,88.16174,,osm
BAAR,Bandar,22.052957,88.088537,,osm
BAB,Babina,25.239269,78.453636,,osm
BAC,Bargachia,22.666749,88.13807,,osm
BAD,Baad,27.397091,77.688213,,osm
BADH,Badhauna Halt,25.297819,85.423808,,osm
BADK,Barka,29.072858,77.273858,,osm
BADR,Bhader,21.364963,70.928876,,osm
BAE,Baliakheri,29.928392,77.633645,,osm
BAF,Bap,27.378786,72.385466,,osm
BAGA,Bhagega,27.677181,75.721051,,osm
BAGD,Bagwada,20.433892,72.916241,,osm
BAGJ,Barharganj,26.921227,83.919728,,osm
BAGL,Baragopal,25.765237,84.908274,,osm
BAH,Bhabhar,24.065083,71.615528,,osm
BAHL,Banihal,33.450759,75.189138,,osm
BAHN,Babhabgaon Halt,25.465085,87.816909,,osm
BAHW,Bahir Khanda,22.853295,88.068158,,osm
BAI,Bassi,26.841109,76.047737,,osm
BAJ,Bhalej,22.635477,73.038537,,osm
BAJN,Bajana,23.104165,71.776896,,osm
BAK,Bhan Kari,26.962408,76.409358,,osm
BAKA,Banka,24.866853,86.912574,,osm
BAKT,Barhara Kothi,25.776942,87.096319,,osm
BALI,Bhaili,22.265646,73.130704,,osm
BALR,Baitalpur,26.55229,83.737958,,osm
BALU,Balugaon,19.74804,85.2015,,osm
BAM,Brahmapur,19.296752,84.7974,,osm
BAMA,Birambad,26.924692,77.321102,,osm
BAMR,Bamur,21.006688,84.474059,,osm
BAN,ڀان سعيدآباد,26.557288,67.725294,,osm
BANE,Basni,26.223029,73.010839,,osm
BANI,Bani,26.233215,81.610957,,osm
BANO,Bano,22.664807,84.902613,,osm
BAO,Banmor,26.355471,78.098603,,osm
BAOL,Baoli,29.140283,77.278251,,osm
BAP,Belapur,19.619764,74.659901,,osm
BAPB,Badarpur,28.493258,77.30303,,osm
BAPR,Ballupur,27.587175,79.141662,,osm
BAQ,Ganj Basoda,23.845913,77.94462,,osm
BAR,Bar,26.064067,74.111111,,osm
BARA,Bilara,26.186148,73.700008,,osm
BARD,Duvri Kalan,23.99281,81.52931,,osm
BARH,Sahari,25.475819,85.72822,,osm
BARI,Bari,26.649855,77.617613,,osm
BARJ,Bharatgarh,31.11062,76.592878,,osm
BARL,Baral,28.496037,77.80987,,osm
